Zone,County
A9001,Lafayette
A9002,Jefferson
A9003,Jefferson
A9004,Rapides
A9005,Orleans
A9006,Ascension
A9007,Orleans
A9008,Rapides
A9009,Tangipahoa
A9010,Caddo
A9011,St. Tammany
A9013,Bossier
A9014,Lafayette
A9015,Orleans
A9016,Ouachita
A9017,Caddo
A9018,St. Tammany
A9019,Jefferson
A9020,Caddo
A9021,Jefferson
A9022,East Baton Rouge
A9023,Orleans
A9024,Orleans
A9025,Lafayette
A9026,East Baton Rouge
A9027,Terrebonne
A9028,Jefferson
A9029,Livingston
A9030,East Baton Rouge
A9031,Ascension
A9033,Livingston
A9034,Caddo
A9035,Calcasieu
A9036,Calcasieu
A9037,Jefferson
A9038,Bossier
A9039,St. Tammany
A9040,Terrebonne
A9041,East Baton Rouge
A9042,Jefferson
A9043,Lafayette
A9044,Ouachita
A9045,Orleans
A9046,East Baton Rouge
A9048,East Baton Rouge
A9049,East Baton Rouge
B0002,Grant
B0002,Winn
B0002,La Salle
B0004,East Carroll
B0004,Union
B0004,Morehouse
B0004,West Carroll
B0010,Red River
B0010,Bienville
B0010,Natchitoches
B0011,Cameron
B0011,Calcasieu
B0013,St. Bernard
B0013,Plaquemines
B0016,Pointe Coupee
B0016,East Feliciana
B0016,West Feliciana
B0019,Claiborne
B0019,Webster
B0024,Assumption
B0024,St. Mary
B0026,De Soto
B0026,Sabine
B0043,Iberia
B0044,Avoyelles
B0044,Catahoula
B0044,Concordia
B0047,Madison
B0047,Caldwell
B0047,Richland
B0047,Franklin
B0047,Tensas
B0049,Lincoln
B0049,Jackson
B0051,Allen
B0051,Beauregard
B0051,Jefferson Davis
B0058,Lafourche
B0059,St. Martin
B0066,St. Landry
B0067,Washington
B0067,St. Tammany
B0071,Vernon
B0072,St. Charles
B0030,St. James
B0030,St. John the Baptist
B0032,West Baton Rouge
B0032,Iberville
B0034,Acadia
B0034,Evangeline
B0035,Tangipahoa
B0035,St. Helena
B0038,Vermilion
